epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,46724.9,1.36513,1.35197,1.33211,0.60211,0.46221,0.48918,0.34468,1.20025,1.2481,1.19613,0.003961,0.003961,0.003961
63,47477.7,1.36442,1.35309,1.33269,0.60357,0.45903,0.4888,0.34414,1.20013,1.24826,1.19594,0.003862,0.003862,0.003862
64,48231.2,1.36498,1.35244,1.33304,0.60416,0.45923,0.48833,0.34473,1.19986,1.24811,1.19565,0.003763,0.003763,0.003763
65,48981.3,1.36255,1.3507,1.33084,0.60165,0.45993,0.48864,0.34443,1.19972,1.24764,1.19551,0.003664,0.003664,0.003664
66,49739.2,1.35947,1.34921,1.32961,0.6058,0.45792,0.48845,0.34355,1.19958,1.24748,1.19536,0.003565,0.003565,0.003565
67,50488.4,1.36315,1.35192,1.33169,0.60503,0.45775,0.48782,0.34339,1.19941,1.24739,1.19529,0.003466,0.003466,0.003466
68,51248.8,1.36088,1.34922,1.32955,0.6033,0.45922,0.48782,0.34381,1.19922,1.24721,1.19515,0.003367,0.003367,0.003367
69,52001.5,1.36177,1.34939,1.32979,0.60489,0.45882,0.4881,0.34401,1.19901,1.24671,1.19487,0.003268,0.003268,0.003268
70,52758.1,1.36074,1.34823,1.32976,0.60815,0.45851,0.48813,0.34428,1.19894,1.2467,1.19474,0.003169,0.003169,0.003169
71,53516.4,1.3586,1.34884,1.33004,0.60817,0.45895,0.48839,0.34428,1.19881,1.24667,1.19452,0.00307,0.00307,0.00307
72,54268.2,1.3584,1.34514,1.32724,0.60962,0.45835,0.4886,0.34404,1.1987,1.24664,1.19424,0.002971,0.002971,0.002971
73,55027.4,1.359,1.34857,1.32766,0.61062,0.45924,0.48854,0.34382,1.19842,1.2463,1.19378,0.002872,0.002872,0.002872
74,55781.6,1.35816,1.34315,1.32512,0.6122,0.45843,0.48884,0.34369,1.19845,1.24606,1.19358,0.002773,0.002773,0.002773
75,56531.2,1.35581,1.34477,1.32667,0.61372,0.45729,0.48852,0.34392,1.19816,1.24574,1.19333,0.002674,0.002674,0.002674
76,57288.8,1.35488,1.34259,1.32525,0.61394,0.45778,0.48839,0.34347,1.19789,1.24534,1.19293,0.002575,0.002575,0.002575
77,58042.8,1.35693,1.34303,1.32597,0.61119,0.45809,0.4879,0.34276,1.19773,1.24502,1.19266,0.002476,0.002476,0.002476
78,58799.4,1.35384,1.34247,1.32489,0.61368,0.45623,0.48796,0.34268,1.19743,1.24467,1.19237,0.002377,0.002377,0.002377
79,59553.3,1.35359,1.33894,1.32241,0.61046,0.45893,0.48828,0.343,1.19739,1.24443,1.19211,0.002278,0.002278,0.002278
80,60303.9,1.35216,1.33879,1.32296,0.61122,0.45716,0.48861,0.34377,1.1972,1.2441,1.19172,0.002179,0.002179,0.002179
81,61061.6,1.34966,1.33811,1.32104,0.61255,0.45649,0.48903,0.34407,1.19706,1.24382,1.19146,0.00208,0.00208,0.00208
82,61815.7,1.35036,1.33856,1.32203,0.61324,0.45702,0.48872,0.34392,1.19702,1.24396,1.19147,0.001981,0.001981,0.001981
83,62569.6,1.35044,1.3378,1.32131,0.61496,0.45726,0.48921,0.34399,1.19682,1.24379,1.19122,0.001882,0.001882,0.001882
84,63320.2,1.34973,1.33633,1.32042,0.61773,0.45487,0.48904,0.34433,1.19667,1.2438,1.19095,0.001783,0.001783,0.001783
85,64075.2,1.35067,1.33903,1.32165,0.62068,0.45369,0.48896,0.34398,1.19653,1.24375,1.19077,0.001684,0.001684,0.001684
86,64836.1,1.34973,1.33655,1.32042,0.62016,0.45347,0.48869,0.3443,1.1964,1.24377,1.19049,0.001585,0.001585,0.001585
87,65586.6,1.34664,1.33287,1.31771,0.62003,0.45437,0.4894,0.345,1.19625,1.2438,1.1901,0.001486,0.001486,0.001486
88,66344.6,1.34665,1.33214,1.31818,0.61862,0.45504,0.48947,0.34529,1.196,1.24374,1.1897,0.001387,0.001387,0.001387
89,67101.5,1.34413,1.33115,1.31833,0.62113,0.45343,0.48964,0.34506,1.19587,1.24355,1.18944,0.001288,0.001288,0.001288
90,67854.6,1.34431,1.33055,1.31697,0.621,0.45367,0.49006,0.34573,1.19546,1.24353,1.18898,0.001189,0.001189,0.001189
91,68752.5,1.34746,1.26772,1.31422,0.61676,0.45778,0.4905,0.34628,1.19444,1.24146,1.18795,0.00109,0.00109,0.00109
92,69445.2,1.34569,1.26487,1.31318,0.62213,0.45589,0.49029,0.34595,1.19368,1.24042,1.18704,0.000991,0.000991,0.000991
93,70132.2,1.34349,1.2609,1.3114,0.62167,0.45685,0.49095,0.34625,1.19311,1.23932,1.18618,0.000892,0.000892,0.000892
94,70818.2,1.34136,1.2587,1.30996,0.62017,0.45739,0.49115,0.34644,1.19236,1.23897,1.18528,0.000793,0.000793,0.000793
95,71512.4,1.33991,1.25566,1.30907,0.60963,0.46166,0.49123,0.34617,1.19215,1.23849,1.18469,0.000694,0.000694,0.000694
96,72205.6,1.33834,1.25378,1.3087,0.60969,0.46188,0.4915,0.34612,1.1918,1.23789,1.18411,0.000595,0.000595,0.000595
97,72901.4,1.33663,1.25171,1.30579,0.61191,0.46031,0.49144,0.34602,1.19155,1.23801,1.18346,0.000496,0.000496,0.000496
98,73588.7,1.33582,1.25165,1.30658,0.61356,0.46051,0.49135,0.34606,1.19125,1.23813,1.18287,0.000397,0.000397,0.000397
99,74279.6,1.33499,1.25143,1.30522,0.61673,0.45878,0.4909,0.34531,1.19112,1.23824,1.18254,0.000298,0.000298,0.000298
100,74966.7,1.33277,1.24858,1.30421,0.61221,0.46035,0.49076,0.3448,1.19104,1.23884,1.18204,0.000199,0.000199,0.000199
